100026.txt,	Final cells: 889
1312973.txt,	Final cells: 100340
1312974.txt,	Final cells: 126075
1312975.txt,	Final cells: 112754
1313200.txt,	Final cells: 6770
131326.txt,	Final cells: 59648
131328.txt,	Final cells: 63080
131329.txt,	Final cells: 62915
1313532.txt,	Final cells: 165
1313533.txt,	Final cells: 430
1313534.txt,	Final cells: 789
1313535.txt,	Final cells: 5040
1313538.txt,	Final cells: 29979
1313542.txt,	Final cells: 2298
1313543.txt,	Final cells: 7844
1313544.txt,	Final cells: 1387
1313545.txt,	Final cells: 22827
1313550.txt,	Final cells: 13071
1313551.txt,	Final cells: 115342
1313552.txt,	Final cells: 113322
1313553.txt,	Final cells: 194376
1313554.txt,	Final cells: 211147
131372.txt,	Final cells: 6497
131374.txt,	Final cells: 3162
131376.txt,	Final cells: 6850
1313801.txt,	Final cells: 64101
131383.txt,	Final cells: 1396100
131438.txt,	Final cells: 277869
131453.txt,	Final cells: 227419
131487.txt,	Final cells: 601816
131500.txt,	Final cells: 224175
1315830.txt,	Final cells: 26870
1315831.txt,	Final cells: 41237
1315832.txt,	Final cells: 25216
1315833.txt,	Final cells: 41266
1315834.txt,	Final cells: 18832
1315835.txt,	Final cells: 21734
1315836.txt,	Final cells: 47450
1315837.txt,	Final cells: 18834
1315838.txt,	Final cells: 18528
1315839.txt,	Final cells: 19323
1315840.txt,	Final cells: 1621
1315841.txt,	Final cells: 21654
1315842.txt,	Final cells: 42750
1315843.txt,	Final cells: 42815
1315844.txt,	Final cells: 39279
1315845.txt,	Final cells: 55612
131601.txt,	Final cells: 12514
131602.txt,	Final cells: 63064
131604.txt,	Final cells: 12099
131605.txt,	Final cells: 7346
131720.txt,	Final cells: 1633
131723.txt,	Final cells: 396
131725.txt,	Final cells: 3503
131727.txt,	Final cells: 2623
131730.txt,	Final cells: 6089
131733.txt,	Final cells: 26415
131969.txt,	Final cells: 9359
131971.txt,	Final cells: 177668
131980.txt,	Final cells: 61477
1320334.txt,	Final cells: 25224
132053.txt,	Final cells: 14345
132054.txt,	Final cells: 14653
132055.txt,	Final cells: 6621
132056.txt,	Final cells: 8084
132057.txt,	Final cells: 1684
132058.txt,	Final cells: 11568
132059.txt,	Final cells: 2692
132060.txt,	Final cells: 685
132061.txt,	Final cells: 7662
132062.txt,	Final cells: 375
132204.txt,	Final cells: 1703
1322464.txt,	Final cells: 44136
1322465.txt,	Final cells: 38069
1322469.txt,	Final cells: 114801
132349.txt,	Final cells: 982242
132420.txt,	Final cells: 40411
132421.txt,	Final cells: 13460
132422.txt,	Final cells: 34066
132423.txt,	Final cells: 4428
132424.txt,	Final cells: 108181
132425.txt,	Final cells: 24809
132426.txt,	Final cells: 19572
132427.txt,	Final cells: 12656
132428.txt,	Final cells: 12007
132429.txt,	Final cells: 1690
132430.txt,	Final cells: 8922
132431.txt,	Final cells: 53828
132432.txt,	Final cells: 1578891
132433.txt,	Final cells: 5023
132434.txt,	Final cells: 12419
132435.txt,	Final cells: 40731
132436.txt,	Final cells: 1080
132438.txt,	Final cells: 3569
132440.txt,	Final cells: 324266
132441.txt,	Final cells: 7570
132442.txt,	Final cells: 770
132444.txt,	Final cells: 66
132445.txt,	Final cells: 198507
132446.txt,	Final cells: 22914
132447.txt,	Final cells: 7890
132448.txt,	Final cells: 661869
132449.txt,	Final cells: 4831
132450.txt,	Final cells: 881
1324574.txt,	Final cells: 76670
132536.txt,	Final cells: 12505
132560.txt,	Final cells: 254
132562.txt,	Final cells: 1611
132563.txt,	Final cells: 99190
1327299.txt,	Final cells: 66389
1329184.txt,	Final cells: 15719
1329185.txt,	Final cells: 5779
1329186.txt,	Final cells: 104964
1329188.txt,	Final cells: 47628
133077.txt,	Final cells: 938050
133078.txt,	Final cells: 933642
133079.txt,	Final cells: 930746
133084.txt,	Final cells: 50910
133275.txt,	Final cells: 11639
133276.txt,	Final cells: 1072
133374.txt,	Final cells: 347562
1335002.txt,	Final cells: 674656
133568.txt,	Final cells: 938109
133582.txt,	Final cells: 930682
1336194.txt,	Final cells: 75612
133776.txt,	Final cells: 24859
1339228.txt,	Final cells: 54288
133989.txt,	Final cells: 128016
133991.txt,	Final cells: 14057
133992.txt,	Final cells: 16899
133993.txt,	Final cells: 8904
133994.txt,	Final cells: 3481
1341427.txt,	Final cells: 15689
1341742.txt,	Final cells: 25809
1341743.txt,	Final cells: 17234
1341744.txt,	Final cells: 57347
1341745.txt,	Final cells: 107713
1344037.txt,	Final cells: 794
1344038.txt,	Final cells: 53
1344039.txt,	Final cells: 18
1344040.txt,	Final cells: 430
1344041.txt,	Final cells: 102
1344042.txt,	Final cells: 16037
1344043.txt,	Final cells: 18
1344044.txt,	Final cells: 1495
1344045.txt,	Final cells: 820
1344046.txt,	Final cells: 16556
1344047.txt,	Final cells: 53
1344048.txt,	Final cells: 1503
1344049.txt,	Final cells: 16137
1344050.txt,	Final cells: 534
1344051.txt,	Final cells: 48
1344052.txt,	Final cells: 190
1344053.txt,	Final cells: 18
1344054.txt,	Final cells: 13663
1344055.txt,	Final cells: 929
1344056.txt,	Final cells: 143884
1344057.txt,	Final cells: 18
1344058.txt,	Final cells: 884
1344059.txt,	Final cells: 60433
1344060.txt,	Final cells: 146993
1344061.txt,	Final cells: 158442
134543.txt,	Final cells: 13220
134601.txt,	Final cells: 8835
134603.txt,	Final cells: 12415
134609.txt,	Final cells: 16290
134611.txt,	Final cells: 65103
134612.txt,	Final cells: 67177
134613.txt,	Final cells: 70139
134617.txt,	Final cells: 907
134618.txt,	Final cells: 4403
134619.txt,	Final cells: 2376
134621.txt,	Final cells: 1653
134622.txt,	Final cells: 17744
134623.txt,	Final cells: 25002
134624.txt,	Final cells: 29905
134630.txt,	Final cells: 413
134631.txt,	Final cells: 1486
134633.txt,	Final cells: 6757
134636.txt,	Final cells: 963
134637.txt,	Final cells: 46843
134705.txt,	Final cells: 995689
1349593.txt,	Final cells: 5141
135059.txt,	Final cells: 114033
135062.txt,	Final cells: 1187006
135064.txt,	Final cells: 248813
135065.txt,	Final cells: 127233
135066.txt,	Final cells: 1004075
135071.txt,	Final cells: 297147
135072.txt,	Final cells: 126362
135073.txt,	Final cells: 1315238
135074.txt,	Final cells: 309444
135075.txt,	Final cells: 175294
135077.txt,	Final cells: 1828062
135078.txt,	Final cells: 180622
135079.txt,	Final cells: 161121
1351747.txt,	Final cells: 76671
135214.txt,	Final cells: 5932
135215.txt,	Final cells: 10432
135216.txt,	Final cells: 382
135217.txt,	Final cells: 4633
135218.txt,	Final cells: 105251
135219.txt,	Final cells: 27282
135220.txt,	Final cells: 1146
135221.txt,	Final cells: 77407
135222.txt,	Final cells: 53772
135363.txt,	Final cells: 25438
135364.txt,	Final cells: 13744
135365.txt,	Final cells: 44789
135455.txt,	Final cells: 10220
135456.txt,	Final cells: 10678
135457.txt,	Final cells: 5912
135458.txt,	Final cells: 6857
135459.txt,	Final cells: 10319
135460.txt,	Final cells: 3528
135461.txt,	Final cells: 3145
135462.txt,	Final cells: 12817
135465.txt,	Final cells: 9101
135493.txt,	Final cells: 29025
1356107.txt,	Final cells: 20898
1356633.txt,	Final cells: 62566
1356634.txt,	Final cells: 37353
1356635.txt,	Final cells: 89398
1356636.txt,	Final cells: 6212
1356637.txt,	Final cells: 3133
1356638.txt,	Final cells: 219154
1356639.txt,	Final cells: 106867
1356640.txt,	Final cells: 29178
1356641.txt,	Final cells: 221783
1356642.txt,	Final cells: 441562
1356644.txt,	Final cells: 3018
1356645.txt,	Final cells: 83621
1356647.txt,	Final cells: 476880
1356648.txt,	Final cells: 74086
1356649.txt,	Final cells: 741412
1356650.txt,	Final cells: 757744
1356651.txt,	Final cells: 743014
1356652.txt,	Final cells: 743925
1356653.txt,	Final cells: 737614
135671.txt,	Final cells: 74207
135672.txt,	Final cells: 96046
135673.txt,	Final cells: 104482
135674.txt,	Final cells: 132013
135675.txt,	Final cells: 150566
135676.txt,	Final cells: 34653
135677.txt,	Final cells: 33827
135753.txt,	Final cells: 12893
135757.txt,	Final cells: 2015
135777.txt,	Final cells: 41105
135789.txt,	Final cells: 301938
135790.txt,	Final cells: 13361
135792.txt,	Final cells: 144147
135793.txt,	Final cells: 335179
135803.txt,	Final cells: 84915
135804.txt,	Final cells: 529267
135805.txt,	Final cells: 8815
135806.txt,	Final cells: 975
135807.txt,	Final cells: 45740
135808.txt,	Final cells: 2131
135810.txt,	Final cells: 6434
136023.txt,	Final cells: 44220
136024.txt,	Final cells: 74184
136074.txt,	Final cells: 69477
136167.txt,	Final cells: 109753
136235.txt,	Final cells: 7434
136236.txt,	Final cells: 2273
136243.txt,	Final cells: 511
136385.txt,	Final cells: 9929
136393.txt,	Final cells: 7012
136394.txt,	Final cells: 3755
136397.txt,	Final cells: 1498
136403.txt,	Final cells: 1836
136404.txt,	Final cells: 1033
136405.txt,	Final cells: 6298
136523.txt,	Final cells: 1883
1366134.txt,	Final cells: 84747
136634.txt,	Final cells: 56513
136635.txt,	Final cells: 3135
136636.txt,	Final cells: 59000
136638.txt,	Final cells: 4158
136639.txt,	Final cells: 57718
136640.txt,	Final cells: 4098
1368053.txt,	Final cells: 586891
1368054.txt,	Final cells: 430490
1368055.txt,	Final cells: 654057
1368056.txt,	Final cells: 375163
1368057.txt,	Final cells: 1313399
1368058.txt,	Final cells: 549371
1368059.txt,	Final cells: 604800
1368061.txt,	Final cells: 1423205
1368062.txt,	Final cells: 603649
1368063.txt,	Final cells: 570174
1368064.txt,	Final cells: 233215
1368066.txt,	Final cells: 906408
1368067.txt,	Final cells: 89735
1368068.txt,	Final cells: 612134
1368069.txt,	Final cells: 646990
1368070.txt,	Final cells: 94514
1368071.txt,	Final cells: 92666
1368072.txt,	Final cells: 854723
1368073.txt,	Final cells: 235181
1368074.txt,	Final cells: 128859
1368075.txt,	Final cells: 753689
1368076.txt,	Final cells: 351336
136935.txt,	Final cells: 279
1371988.txt,	Final cells: 70086
137229.txt,	Final cells: 27557
137707.txt,	Final cells: 11621
1378611.txt,	Final cells: 8615
137976.txt,	Final cells: 60561
137977.txt,	Final cells: 6
138039.txt,	Final cells: 723
138054.txt,	Final cells: 38807
138056.txt,	Final cells: 17418
138092.txt,	Final cells: 5294
138093.txt,	Final cells: 5322
138095.txt,	Final cells: 1442
138101.txt,	Final cells: 3636
138102.txt,	Final cells: 12429
138178.txt,	Final cells: 1939
138179.txt,	Final cells: 4862
138180.txt,	Final cells: 2264
138183.txt,	Final cells: 7612
138185.txt,	Final cells: 7426
138186.txt,	Final cells: 91212
138187.txt,	Final cells: 12834
138188.txt,	Final cells: 56
138189.txt,	Final cells: 3181
138191.txt,	Final cells: 20832
138192.txt,	Final cells: 11980
138193.txt,	Final cells: 8218
138194.txt,	Final cells: 34877
138195.txt,	Final cells: 4312
138196.txt,	Final cells: 210
138197.txt,	Final cells: 5802
138199.txt,	Final cells: 2807
138200.txt,	Final cells: 126
138201.txt,	Final cells: 270
138202.txt,	Final cells: 270
138203.txt,	Final cells: 1714
138204.txt,	Final cells: 759
138205.txt,	Final cells: 1050
138207.txt,	Final cells: 144
138208.txt,	Final cells: 9590
138253.txt,	Final cells: 5706
1382593.txt,	Final cells: 2988
1382594.txt,	Final cells: 6742
1382595.txt,	Final cells: 996
1382596.txt,	Final cells: 570
1382597.txt,	Final cells: 1631
1382598.txt,	Final cells: 798
1382599.txt,	Final cells: 45782
1382600.txt,	Final cells: 1226
1382601.txt,	Final cells: 4813
1382602.txt,	Final cells: 75337
1384321.txt,	Final cells: 3716
1384322.txt,	Final cells: 4773
138557.txt,	Final cells: 26712
138581.txt,	Final cells: 14694
1387346.txt,	Final cells: 510
1389866.txt,	Final cells: 84113
1389867.txt,	Final cells: 84083
139429.txt,	Final cells: 138872
139430.txt,	Final cells: 140431
1395582.txt,	Final cells: 3324
1395584.txt,	Final cells: 1505
1395585.txt,	Final cells: 3748
139623.txt,	Final cells: 50001
139645.txt,	Final cells: 105331
139646.txt,	Final cells: 40521
139655.txt,	Final cells: 83764
1396885.txt,	Final cells: 57437
1396886.txt,	Final cells: 390912
1396888.txt,	Final cells: 48851
1396889.txt,	Final cells: 260263
1396890.txt,	Final cells: 214172
1396891.txt,	Final cells: 541424
1396892.txt,	Final cells: 248781
1396893.txt,	Final cells: 311221
1396894.txt,	Final cells: 280452
1396897.txt,	Final cells: 359635
1396898.txt,	Final cells: 249080
1396899.txt,	Final cells: 528006
1396900.txt,	Final cells: 240112
1396901.txt,	Final cells: 224853
1396902.txt,	Final cells: 1037555
1396903.txt,	Final cells: 277098
1396904.txt,	Final cells: 704809
1396905.txt,	Final cells: 603156
1396906.txt,	Final cells: 565345
1396907.txt,	Final cells: 602975
1396908.txt,	Final cells: 277037
1396909.txt,	Final cells: 855097
1396910.txt,	Final cells: 444804
1396911.txt,	Final cells: 704974
139733.txt,	Final cells: 132941
139737.txt,	Final cells: 50207
1397588.txt,	Final cells: 496763
139763.txt,	Final cells: 115131
139764.txt,	Final cells: 975
139765.txt,	Final cells: 6434
139767.txt,	Final cells: 3203
1399249.txt,	Final cells: 25358
139934.txt,	Final cells: 606
1399418.txt,	Final cells: 831652
140511.txt,	Final cells: 20461
140534.txt,	Final cells: 11617
140545.txt,	Final cells: 3331
140547.txt,	Final cells: 2402
1409877.txt,	Final cells: 566768
1411168.txt,	Final cells: 51221
1411169.txt,	Final cells: 41211
1411685.txt,	Final cells: 5503
1411686.txt,	Final cells: 100190
1411687.txt,	Final cells: 700308
1411688.txt,	Final cells: 703630
1411689.txt,	Final cells: 773905
1411690.txt,	Final cells: 741482
1411691.txt,	Final cells: 702926
1411692.txt,	Final cells: 1027962
1411693.txt,	Final cells: 364133
1411694.txt,	Final cells: 385699
1411695.txt,	Final cells: 417926
1411696.txt,	Final cells: 112636
1411697.txt,	Final cells: 400844
1411698.txt,	Final cells: 402636
1411699.txt,	Final cells: 295574
1411700.txt,	Final cells: 1196424
1411701.txt,	Final cells: 613199
1411702.txt,	Final cells: 101901
1417953.txt,	Final cells: 1885
1417954.txt,	Final cells: 19836
1417955.txt,	Final cells: 14444
1417956.txt,	Final cells: 8617
1417957.txt,	Final cells: 113696
1417958.txt,	Final cells: 2160
1417959.txt,	Final cells: 10710
1417960.txt,	Final cells: 118895
1417961.txt,	Final cells: 248525
1417962.txt,	Final cells: 33260
1417963.txt,	Final cells: 289360
1417964.txt,	Final cells: 343616
1417965.txt,	Final cells: 278462
1417966.txt,	Final cells: 326060
1422542.txt,	Final cells: 28263
1422545.txt,	Final cells: 175521
1422546.txt,	Final cells: 10595
1422547.txt,	Final cells: 153971
1432660.txt,	Final cells: 2383589
1432739.txt,	Final cells: 54986
1432740.txt,	Final cells: 51383
1432741.txt,	Final cells: 2547
1435439.txt,	Final cells: 184623
1435440.txt,	Final cells: 149403
1436273.txt,	Final cells: 15979
1436274.txt,	Final cells: 120892
1436275.txt,	Final cells: 47264
1436276.txt,	Final cells: 72714
1436277.txt,	Final cells: 121202
1436278.txt,	Final cells: 148062
1437919.txt,	Final cells: 46448
1439534.txt,	Final cells: 1814
1439537.txt,	Final cells: 54
143966.txt,	Final cells: 235573
1440463.txt,	Final cells: 60182
144106.txt,	Final cells: 560
144422.txt,	Final cells: 39303
1450243.txt,	Final cells: 212386
1450317.txt,	Final cells: 20286
1450318.txt,	Final cells: 20945
1450319.txt,	Final cells: 14992
1450320.txt,	Final cells: 21304
1450321.txt,	Final cells: 112262
1450322.txt,	Final cells: 160421
1450323.txt,	Final cells: 153324
145065.txt,	Final cells: 301492
1451897.txt,	Final cells: 17702
1451898.txt,	Final cells: 115323
1451899.txt,	Final cells: 1892
1451900.txt,	Final cells: 723
1451901.txt,	Final cells: 2710
1452668.txt,	Final cells: 189
1452669.txt,	Final cells: 492
1452670.txt,	Final cells: 9841
1452672.txt,	Final cells: 1016
1452673.txt,	Final cells: 1217
1452674.txt,	Final cells: 1423
1452675.txt,	Final cells: 8469
1452676.txt,	Final cells: 1563
1452677.txt,	Final cells: 14407
1452678.txt,	Final cells: 273
1452679.txt,	Final cells: 1194
1452680.txt,	Final cells: 36959
1452681.txt,	Final cells: 9932
145328.txt,	Final cells: 1167
145329.txt,	Final cells: 642
145330.txt,	Final cells: 1024
145331.txt,	Final cells: 21691
145352.txt,	Final cells: 50544
1453582.txt,	Final cells: 3051
145363.txt,	Final cells: 112850
145365.txt,	Final cells: 56994
1454014.txt,	Final cells: 47151
1454015.txt,	Final cells: 64725
1454016.txt,	Final cells: 57678
1454017.txt,	Final cells: 27683
1454018.txt,	Final cells: 51399
145419.txt,	Final cells: 53434
1454387.txt,	Final cells: 44104
1454388.txt,	Final cells: 89455
1454389.txt,	Final cells: 66805
145495.txt,	Final cells: 32392
145496.txt,	Final cells: 34170
145497.txt,	Final cells: 58001
145499.txt,	Final cells: 54390
145500.txt,	Final cells: 45660
145501.txt,	Final cells: 47707
145502.txt,	Final cells: 52369
145503.txt,	Final cells: 50893
145504.txt,	Final cells: 54676
145507.txt,	Final cells: 38832
145508.txt,	Final cells: 62758
1455627.txt,	Final cells: 34521
1455628.txt,	Final cells: 9537
1455630.txt,	Final cells: 7055
1455661.txt,	Final cells: 13847
1458668.txt,	Final cells: 9025
1458669.txt,	Final cells: 2923
1458670.txt,	Final cells: 1226
1458671.txt,	Final cells: 1403
1458672.txt,	Final cells: 10326
1458673.txt,	Final cells: 25886
1458674.txt,	Final cells: 23032
1458675.txt,	Final cells: 71924
1458676.txt,	Final cells: 36431
1458677.txt,	Final cells: 40689
1458678.txt,	Final cells: 188017
1458679.txt,	Final cells: 29921
1458680.txt,	Final cells: 30708
1458681.txt,	Final cells: 97041
1458682.txt,	Final cells: 2194
1458683.txt,	Final cells: 172056
1458684.txt,	Final cells: 23636
1458685.txt,	Final cells: 105612
1458686.txt,	Final cells: 11107
1458687.txt,	Final cells: 51859
1458688.txt,	Final cells: 27296
1458689.txt,	Final cells: 1771
1458690.txt,	Final cells: 60068
1458691.txt,	Final cells: 2598
1458692.txt,	Final cells: 10908
1458693.txt,	Final cells: 3194
1458694.txt,	Final cells: 3841
1458695.txt,	Final cells: 5020
1458696.txt,	Final cells: 8865
1458697.txt,	Final cells: 18800
1458698.txt,	Final cells: 34474
1458699.txt,	Final cells: 14234
1458700.txt,	Final cells: 17546
1458701.txt,	Final cells: 2261
1458702.txt,	Final cells: 49939
1458703.txt,	Final cells: 23870
1458704.txt,	Final cells: 30514
1458705.txt,	Final cells: 45878
1458706.txt,	Final cells: 31066
1460441.txt,	Final cells: 960
1461200.txt,	Final cells: 34550
1464288.txt,	Final cells: 53017
1464289.txt,	Final cells: 70575
1467362.txt,	Final cells: 180030
1472695.txt,	Final cells: 72
1472696.txt,	Final cells: 148034
1473393.txt,	Final cells: 464373
147463.txt,	Final cells: 3260617
147499.txt,	Final cells: 150407
147729.txt,	Final cells: 1981625
1481222.txt,	Final cells: 71578
1481223.txt,	Final cells: 71700
1481523.txt,	Final cells: 182503
1481537.txt,	Final cells: 189590
148292.txt,	Final cells: 3629
148293.txt,	Final cells: 8305
1482988.txt,	Final cells: 88643
1482989.txt,	Final cells: 115017
1482990.txt,	Final cells: 134803
1483720.txt,	Final cells: 82916
1483721.txt,	Final cells: 263694
1484067.txt,	Final cells: 69088
148452.txt,	Final cells: 46630
148454.txt,	Final cells: 57182
148457.txt,	Final cells: 112557
1485510.txt,	Final cells: 135510
148764.txt,	Final cells: 12847
1489589.txt,	Final cells: 241
1489590.txt,	Final cells: 6795
1489591.txt,	Final cells: 2809
1489592.txt,	Final cells: 405
1489593.txt,	Final cells: 136
1489594.txt,	Final cells: 617
1489595.txt,	Final cells: 714
1489596.txt,	Final cells: 11223
1489597.txt,	Final cells: 2009
1489598.txt,	Final cells: 8179
1489599.txt,	Final cells: 20672
1489600.txt,	Final cells: 15419
1489676.txt,	Final cells: 250157
1490842.txt,	Final cells: 3331
1490843.txt,	Final cells: 4256
1490844.txt,	Final cells: 5215
1492345.txt,	Final cells: 49306
149255.txt,	Final cells: 32196
149305.txt,	Final cells: 5245
149307.txt,	Final cells: 6741
1494102.txt,	Final cells: 116425
149614.txt,	Final cells: 152135
1496712.txt,	Final cells: 61479
1501544.txt,	Final cells: 8567
1501545.txt,	Final cells: 1280
1501546.txt,	Final cells: 10230
1501547.txt,	Final cells: 28569
1501548.txt,	Final cells: 46833
1501549.txt,	Final cells: 55460
1501550.txt,	Final cells: 480771
1501590.txt,	Final cells: 894
1501591.txt,	Final cells: 894
150242.txt,	Final cells: 52561
1502911.txt,	Final cells: 894
1504272.txt,	Final cells: 304857
1505017.txt,	Final cells: 36
1505018.txt,	Final cells: 354
1505019.txt,	Final cells: 1412
1505020.txt,	Final cells: 66
1505021.txt,	Final cells: 28073
1505022.txt,	Final cells: 37992
1505023.txt,	Final cells: 9629
1505024.txt,	Final cells: 17179
1505025.txt,	Final cells: 1647
1505026.txt,	Final cells: 8354
1505027.txt,	Final cells: 4448
1505029.txt,	Final cells: 410
1505031.txt,	Final cells: 9
1505032.txt,	Final cells: 11865
1505033.txt,	Final cells: 87181
1505034.txt,	Final cells: 9819
1505036.txt,	Final cells: 23163
1505037.txt,	Final cells: 395783
1505134.txt,	Final cells: 1495
1505135.txt,	Final cells: 31183
1505136.txt,	Final cells: 391606
1508788.txt,	Final cells: 223511
1508789.txt,	Final cells: 192949
1508790.txt,	Final cells: 452977
1508791.txt,	Final cells: 197044
1509643.txt,	Final cells: 75084
1509867.txt,	Final cells: 449070
1509868.txt,	Final cells: 435164
1512169.txt,	Final cells: 14779
151360.txt,	Final cells: 2409720
151365.txt,	Final cells: 24533
151370.txt,	Final cells: 26238
151376.txt,	Final cells: 2412036
1513803.txt,	Final cells: 93275
1514493.txt,	Final cells: 582
1514494.txt,	Final cells: 2427
1514495.txt,	Final cells: 4696
1514496.txt,	Final cells: 7919
1514497.txt,	Final cells: 9146
1514498.txt,	Final cells: 12734
1514499.txt,	Final cells: 65355
1514500.txt,	Final cells: 77466
1514502.txt,	Final cells: 147936
151450.txt,	Final cells: 154133
1514900.txt,	Final cells: 350998
1514901.txt,	Final cells: 381784
1514902.txt,	Final cells: 27067
1514903.txt,	Final cells: 175411
1514904.txt,	Final cells: 315207
1514905.txt,	Final cells: 654396
1514906.txt,	Final cells: 605351
1516886.txt,	Final cells: 2784
1516887.txt,	Final cells: 10043
1517909.txt,	Final cells: 2513
1517910.txt,	Final cells: 3006
1517911.txt,	Final cells: 36217
1517923.txt,	Final cells: 137148
1519467.txt,	Final cells: 36
1519468.txt,	Final cells: 660
1519469.txt,	Final cells: 52478
1519470.txt,	Final cells: 49584
1519471.txt,	Final cells: 10476
1522954.txt,	Final cells: 106263
152773.txt,	Final cells: 84
152775.txt,	Final cells: 30
152776.txt,	Final cells: 1416
153098.txt,	Final cells: 717
153100.txt,	Final cells: 781
153101.txt,	Final cells: 1858
153102.txt,	Final cells: 1837
1533026.txt,	Final cells: 261464
1533028.txt,	Final cells: 555377
153368.txt,	Final cells: 1296
153369.txt,	Final cells: 6069
153370.txt,	Final cells: 305
153377.txt,	Final cells: 684
1535134.txt,	Final cells: 13358
1535135.txt,	Final cells: 8476
1535136.txt,	Final cells: 2548
1535137.txt,	Final cells: 20946
1535138.txt,	Final cells: 25953
1535139.txt,	Final cells: 2505
1535140.txt,	Final cells: 7910
1536353.txt,	Final cells: 4434
1536354.txt,	Final cells: 3749
1536355.txt,	Final cells: 5192
1536356.txt,	Final cells: 5233
153852.txt,	Final cells: 664
153943.txt,	Final cells: 122672
153948.txt,	Final cells: 73155
153951.txt,	Final cells: 5417
153956.txt,	Final cells: 638
153957.txt,	Final cells: 157772
153959.txt,	Final cells: 201529
153960.txt,	Final cells: 79513
153961.txt,	Final cells: 19648
153963.txt,	Final cells: 91345
153964.txt,	Final cells: 138126
153966.txt,	Final cells: 14319
153968.txt,	Final cells: 5614
1558696.txt,	Final cells: 59794
1558738.txt,	Final cells: 55477
1558739.txt,	Final cells: 4869
1559370.txt,	Final cells: 13878
1559483.txt,	Final cells: 1645
1566089.txt,	Final cells: 2618
1566090.txt,	Final cells: 4948
157174.txt,	Final cells: 51217
1572114.txt,	Final cells: 16412
1572508.txt,	Final cells: 62351
157581.txt,	Final cells: 1847
157812.txt,	Final cells: 2411150
1581199.txt,	Final cells: 107163
1581200.txt,	Final cells: 137801
1581201.txt,	Final cells: 185832
1581202.txt,	Final cells: 113608
1581203.txt,	Final cells: 184627
1582374.txt,	Final cells: 348
1582375.txt,	Final cells: 753
1582376.txt,	Final cells: 419
1582377.txt,	Final cells: 482
1582378.txt,	Final cells: 18
1582379.txt,	Final cells: 398
1582380.txt,	Final cells: 36
1582381.txt,	Final cells: 571
1582382.txt,	Final cells: 130
1582383.txt,	Final cells: 691
1582384.txt,	Final cells: 216
1582385.txt,	Final cells: 698
1582386.txt,	Final cells: 143
1582387.txt,	Final cells: 3759
1582388.txt,	Final cells: 3380
1582389.txt,	Final cells: 123
1582390.txt,	Final cells: 96
1582391.txt,	Final cells: 541
1582392.txt,	Final cells: 936
1582393.txt,	Final cells: 5371
1582394.txt,	Final cells: 660
1582395.txt,	Final cells: 539
1582396.txt,	Final cells: 1773
1582397.txt,	Final cells: 665
1582398.txt,	Final cells: 3936
1582399.txt,	Final cells: 805
1582400.txt,	Final cells: 521
1582401.txt,	Final cells: 404
1582402.txt,	Final cells: 630
1582403.txt,	Final cells: 2301
1582404.txt,	Final cells: 940
1582405.txt,	Final cells: 6192
1582406.txt,	Final cells: 1171
1582407.txt,	Final cells: 924
1582408.txt,	Final cells: 2760
1582409.txt,	Final cells: 146
1582410.txt,	Final cells: 758
1582411.txt,	Final cells: 860
1582412.txt,	Final cells: 180
1582413.txt,	Final cells: 240
1582414.txt,	Final cells: 256
1582415.txt,	Final cells: 261
1582416.txt,	Final cells: 219
1582417.txt,	Final cells: 3307
1582418.txt,	Final cells: 4071
1582419.txt,	Final cells: 2458
1582420.txt,	Final cells: 737
1582421.txt,	Final cells: 683
1582422.txt,	Final cells: 309
1582423.txt,	Final cells: 463
1582424.txt,	Final cells: 9522
1582425.txt,	Final cells: 1278
1582426.txt,	Final cells: 479
1582427.txt,	Final cells: 3307
1582428.txt,	Final cells: 569
1582429.txt,	Final cells: 68
1582430.txt,	Final cells: 1874
1582431.txt,	Final cells: 111
1582432.txt,	Final cells: 910
1582433.txt,	Final cells: 586
1582434.txt,	Final cells: 2262
1582435.txt,	Final cells: 882
1582436.txt,	Final cells: 1398
1582437.txt,	Final cells: 594
1582438.txt,	Final cells: 18194
1582439.txt,	Final cells: 5547
158248.txt,	Final cells: 15957
158249.txt,	Final cells: 1117
158250.txt,	Final cells: 20004
1591710.txt,	Final cells: 311151
1592665.txt,	Final cells: 115822
1592666.txt,	Final cells: 115655
159693.txt,	Final cells: 24119
159694.txt,	Final cells: 14298
159695.txt,	Final cells: 111879
159696.txt,	Final cells: 20315
1600243.txt,	Final cells: 905
1600244.txt,	Final cells: 882
1600245.txt,	Final cells: 1578
1600246.txt,	Final cells: 268
1600247.txt,	Final cells: 78509
1600248.txt,	Final cells: 210
1600249.txt,	Final cells: 305
1600250.txt,	Final cells: 459
1601406.txt,	Final cells: 121625
1602764.txt,	Final cells: 1813083
161025.txt,	Final cells: 11349
161026.txt,	Final cells: 2935
161091.txt,	Final cells: 21161
161092.txt,	Final cells: 61703
161093.txt,	Final cells: 14706
161094.txt,	Final cells: 40719
1614063.txt,	Final cells: 4015
1614064.txt,	Final cells: 10628
1614065.txt,	Final cells: 12973
161438.txt,	Final cells: 1769055
161459.txt,	Final cells: 1397610
161461.txt,	Final cells: 256768
161717.txt,	Final cells: 21628
161718.txt,	Final cells: 62351
1619332.txt,	Final cells: 90969
1620053.txt,	Final cells: 300888
1620054.txt,	Final cells: 72137
1620055.txt,	Final cells: 9834
